Model,BestEpoch,recall@20,ndcg@20,hit_ratio@20,recall@50,ndcg@50,hit_ratio@50,RunDir
MF,48,0.11143756627924993,0.059624434424730755,0.2162773172569706,0.19190546838225575,0.0792402515106526,0.3315749811605124,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_main/five-star-ciao-MF_2026-06-22-11-33-38
DICE,49,0.08800282508361415,0.04758801015080535,0.17935192162773173,0.1632222966104814,0.06613103041330305,0.29540316503391106,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_main/five-star-ciao-DICE_2026-06-22-11-34-44
IDICE-no-social,49,0.09948760032121533,0.05150560155561726,0.19291635267520724,0.17446733393312025,0.0697523219393266,0.3006782215523738,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_rerun/five-star-ciao-IDICE-no-social_2026-06-22-12-13-32
IDICE,48,0.09754230418520665,0.054134349361392886,0.19216277317256972,0.16947911758568443,0.07197592744158535,0.3044461190655614,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_rerun/five-star-ciao-IDICE_2026-06-22-12-15-24
IDICE-low-social,46,0.0959052125300041,0.05171220128275838,0.18010550113036924,0.1721777993677928,0.07030665969035356,0.29691032403918616,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_sensitivity/five-star-ciao-IDICE-low-social_2026-06-22-12-18-57
IDICE-high-social,45,0.11034911938528345,0.0556994094261295,0.2132629992464205,0.19162569434121043,0.07546189818140361,0.33685003767897514,/root/autodl-tmp/DICE_five_star/runs/idice_ciao_sensitivity/five-star-ciao-IDICE-high-social_2026-06-22-12-20-47
