variant,topk,avg_pop,longtail_ratio,coverage,num_users
no-dis,20,1103.37158203125,0.0001123046875,0.45714878605519815,20480
no-dis,50,1070.7882080078125,0.0002861328125,0.5727329321435982,20480
no-adaptive,20,1027.427001953125,0.003740234375,0.759493670886076,20480
no-adaptive,50,1050.9654541015625,0.0047607421875,0.8933388669848517,20480
low-dis,20,982.36767578125,0.00043701171875,0.5206474372276406,20480
low-dis,50,974.8141479492188,0.000814453125,0.6640381821954763,20480
high-dis,20,1194.6629638671875,0.00057861328125,0.5488690599709484,20480
high-dis,50,1206.853271484375,0.001064453125,0.6966175555094418,20480
