variant,setting,dis_pen,adaptive,best_epoch,recall@20,ndcg@20,hit@20,recall@50,ndcg@50,hit@50,delta_recall@20,delta_ndcg@20,delta_recall@50,delta_ndcg@50
baseline,full NeuMFDICE,0.01,True,14,0.15505791690081075,0.10379183999394137,0.534130859375,0.2812276515179162,0.1447149214154617,0.739404296875,0.0,0.0,0.0,0.0
no-dis,remove discrepancy penalty,0.0,True,5,0.1583423334146322,0.10655783069057165,0.541259765625,0.2859525818286147,0.14844598393788885,0.7392578125,0.003284416513821442,0.002765990696630277,0.0047249303106985385,0.0037310625224271643
no-adaptive,disable adaptive training,0.01,False,10,0.14650629196915815,0.09794418985190353,0.519384765625,0.26949709802115207,0.13825647083581324,0.72158203125,-0.008551624931652596,-0.005847650142037836,-0.011730553496764107,-0.006458450579648445
low-dis,weaker discrepancy penalty,0.001,True,5,0.15688276495622183,0.10542530142288283,0.544775390625,0.28705446806838103,0.14786198881576923,0.74267578125,0.0018248480554110824,0.0016334614289414545,0.005826816550464853,0.0031470674003075405
high-dis,stronger discrepancy penalty,0.05,True,6,0.14268583415504282,0.09348480746764198,0.50341796875,0.26504943504424194,0.13421699311124077,0.7130859375,-0.012372082745767926,-0.010307032526299387,-0.016178216473674234,-0.010497928304220916
