dataset,model,config,best_epoch,recall@20,hit_ratio@20,ndcg@20,recall@50,hit_ratio@50,ndcg@50,test_log
longtail,VAE,ml10m_longtail_vae,44,0.11360366689987719,0.414599609375,0.07298677678817186,0.22013314735255926,0.635595703125,0.10669304581575947,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-13-12-24\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-132511.3582
longtail,VAEIPS,ml10m_longtail_vaeips,49,0.08604715793850078,0.358544921875,0.05492272850493912,0.1767040224760726,0.580908203125,0.0852534945962673,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-13-25-28\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-133907.5973
longtail,VAEDICE,ml10m_longtail_vaedice,49,0.16641852137585492,0.561865234375,0.11204608769865303,0.2923911849512878,0.757568359375,0.15353477669593138,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-13-39-24\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-143218.8277
uniform,VAE,ml10m_uniform_vae,47,0.26521251563493226,0.74912109375,0.1915809281650857,0.43238535191070315,0.8876953125,0.2463430147905304,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-14-32-37\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-144549.11641
uniform,VAEIPS,ml10m_uniform_vaeips,49,0.10031727106177615,0.378515625,0.06156615157665083,0.21354781966025244,0.6291015625,0.09845131637056777,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-14-46-06\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-150001.13887
uniform,VAEDICE,ml10m_uniform_vaedice,48,0.17738771318777302,0.597509765625,0.11605480655505782,0.33703952275246946,0.822216796875,0.17012672851286675,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-15-00-19\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-155406.16100
head,VAE,ml10m_head_vae,48,0.33396927317176905,0.804443359375,0.23733030119720136,0.539757662426501,0.927685546875,0.3075907006957722,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-15-54-24\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-160732.19333
head,VAEIPS,ml10m_head_vaeips,49,0.08235028615311407,0.283349609375,0.047606919271958446,0.1861252350169666,0.51005859375,0.08065689093044669,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-16-07-49\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-162118.21525
head,VAEDICE,ml10m_head_vaedice,42,0.11020074026037267,0.415283203125,0.06730645039327457,0.2382720872949431,0.6701171875,0.10816223003433693,D:\codex\智能商务\outputs\vae_full_50\output\MF-debug_2026-06-18-18-06-26\test_log\MF-debug.log.autodl-container-07df49bbbc-bf91dce2.root.log.INFO.20260618-185747.1622
