Model,BestEpoch,recall@20,ndcg@20,hit_ratio@20,recall@50,ndcg@50,hit_ratio@50,RunDir,MetricSource
MF,11,0.01662584595364053,0.010016480455287056,0.05926700418225842,0.03173684856550405,0.014258066855466933,0.10598723310587717,five-star-epinions-MF_2026-06-22-13-34-41,/root/autodl-tmp/DICE_five_star/runs/epinions_second_dataset/output/five-star-epinions-MF_2026-06-22-13-34-41/test_log/five-star-epinions-MF.log.INFO
DICE,29,0.02827932908805964,0.017184962594819914,0.09030376403257759,0.04974191180067328,0.02307426166950636,0.14593880695575612,five-star-epinions-DICE_2026-06-22-14-00-11,/root/autodl-tmp/DICE_five_star/runs/epinions_second_dataset/output/five-star-epinions-DICE_2026-06-22-14-00-11/test_log/five-star-epinions-DICE.log.INFO
IDICE-no-social,29,0.02885451478768825,0.01802440225576436,0.09278010125467753,0.05128598128933597,0.024206604335979476,0.1524323134492626,five-star-epinions-IDICE-no-social_2026-06-22-14-33-14,/root/autodl-tmp/DICE_five_star/runs/epinions_second_dataset/output/five-star-epinions-IDICE-no-social_2026-06-22-14-33-14/test_log/five-star-epinions-IDICE-no-social.log.INFO
IDICE,29,0.02801385966752845,0.0179030251387795,0.09261501210653753,0.04951193747969332,0.023821276146097484,0.1505062733876293,five-star-epinions-IDICE_2026-06-22-15-07-50,/root/autodl-tmp/DICE_five_star/runs/epinions_second_dataset/output/five-star-epinions-IDICE_2026-06-22-15-07-50/test_log/five-star-epinions-IDICE.log.INFO
IDICE-high-social,29,0.029101176134692385,0.01782532050038904,0.09316530926700418,0.051415435437177595,0.02403779755711595,0.15391811578252257,five-star-epinions-IDICE-high-social_2026-06-22-15-42-21,/root/autodl-tmp/DICE_five_star/runs/epinions_second_dataset/output/five-star-epinions-IDICE-high-social_2026-06-22-15-42-21/test_log/five-star-epinions-IDICE-high-social.log.INFO
